Iteration,Weight,MSE,Gradient
1,10.0,187081427.8,-158273.2
2,168.2732,162995462.58653224,-146086.1636
3,314.3593636,142475930.32818788,-134837.52900280003
4,449.19689260280006,124994745.73086879,-124455.03926958439
5,573.6519318723845,110102017.61805937,-114872.00124582641
6,688.5239331182108,97414470.64964174,-106026.85714989777
7,794.5507902681086,86605581.44838467,-97862.78914935564
8,892.4135794174642,77397175.28004694,-90327.35438485525
9,982.7409338023194,69552267.02146116,-83372.1480972214
10,1066.113081899541,62868962.17363242,-76952.49269373534
11,1143.0655745932763,57175260.95792653,-71027.15075631773
12,1214.092725349594,52324631.77493144,-65558.06014808128
13,1279.6507854976753,48192240.1056916,-60510.089516679
14,1340.1608750143544,44671735.80330778,-55850.812623894715
15,1396.011687638249,41672516.09348223,-51550.30005185483
16,1447.5619876901037,39117393.84531027,-47580.92694786201
17,1495.1429146379658,36940611.10354737,-43917.19557287664
18,1539.0601102108424,35086146.75914005,-40535.57151376514
19,1579.5956817246074,33506274.804673463,-37414.33250720523
20,1617.0100142318126,32160336.0703767,-34533.42890415042
21,1651.5434431359631,31013691.83040599,-31874.354878530838
22,1683.4177980144939,30036832.349691994,-29420.02955288398
23,1712.8378275673779,29204617.429146785,-27154.687277311903
24,1739.9925148446898,28495629.40410163,-25063.77635695888
25,1765.0562912016487,27891621.944912933,-23133.86557747305
26,1788.1901567791217,27377050.47421377,-21352.557928007627
27,1809.5427147071293,26938672.115752507,-19708.410967551044
28,1829.2511256746805,26565204.87920696,-18190.863323049598
29,1847.44198899773,26247037.309843946,-16790.16684717479
30,1864.2321558449048,25975981.130644083,-15497.323999942335
31,1879.7294798448472,25745060.51095452,-14304.030051946767
32,1894.033509896794,25548332.538343016,-13202.619737946861
33,1907.2361296347408,25380734.273364067,-12186.018018124963
34,1919.4221476528658,25237952.451078817,-11247.694630729327
35,1930.669842283595,25116312.476001166,-10381.622144163182
36,1941.0514644277582,25012683.85367324,-9582.237239062626
37,1950.6337016668208,24924399.625082027,-8844.404971654798
38,1959.4781066384755,24849187.730502546,-8163.3857888373805
39,1967.6414924273129,24785112.536365345,-7534.805083096903
40,1975.1762975104098,24730525.020299233,-6954.625091698447
41,1982.1309226021083,24684020.332324542,-6419.118959637659
42,1988.550041561746,24644401.640002955,-5924.846799745572
43,1994.4748883614916,24610649.327072117,-5468.633596165147
44,1999.9435219576567,24581894.752869263,-5047.548809260438
45,2004.9910707669171,24557397.897223197,-4658.8875509473755
46,2009.6499583178645,24536528.3154895,-4300.153209524436
47,2013.950111527389,24518748.913592696,-3969.0414123910377
48,2017.9191529397801,24503602.12551415,-3663.4252236369257
49,2021.582578163417,24490698.137493186,-3381.3414814168837
50,2024.963919644834,24479704.855882473,-3120.978187347774
51,2028.084897832182,24470339.360473137,-2880.6628669219963
52,2030.965560699104,24462360.623334564,-2658.8518261689924
53,2033.6244125252729,24455563.305782832,-2454.1202355539876
54,2036.0785327608269,24449772.4738383,-2265.1529774163296
55,2038.3436857382433,24444839.096170627,-2090.7361981552704
56,2040.4344219363986,24440636.208667584,-1929.7495108973103
57,2042.364171447296,24437055.64692001,-1781.158798558204
58,2044.1453302458542,24434005.26253096,-1644.0095710692185
59,2045.7893398169235,24431406.551608775,-1517.4208340968805
60,2047.3067606510203,24429192.63441155,-1400.5794298714377
61,2048.7073400808918,24427306.53414764,-1292.7348137713386
62,2050.000074894663,24425699.710635904,-1193.1942331109444
63,2051.1932691277743,24424330.811088376,-1101.318277161369
64,2052.2945874049356,24423164.605865747,-1016.5167698199541
65,2053.3111041747557,24422171.08181664,-938.2449785438163
66,2054.2493491532996,24421324.66986701,-866.0001151959353
67,2055.1153492684957,24420603.58698117,-799.3181063258264
68,2055.9146673748214,24419989.27555932,-737.7706121387498
69,2056.65243798696,24419465.925844017,-680.9622750040696
70,2057.3334002619645,24419020.069044407,-628.5281798287367
71,2057.961928441793,24418640.230706975,-580.1315099819287
72,2058.542059951775,24418316.635412,-535.4613837133118
73,2059.0775213354887,24418040.955195952,-494.2308571673726
74,2059.571752192656,24417806.095225174,-456.17508116550306
75,2060.027927273821,24417606.011205126,-421.0495999157691
76,2060.448976873737,24417435.55382601,-388.62878072224123
77,2060.8376056544594,24417290.336241476,-358.7043646066333
78,2061.196310019066,24417166.62116991,-331.0841285319184
79,2061.527394147598,24417061.224712696,-305.59065063495945
80,2061.832984798233,24416971.434414305,-282.0601705360488
81,2062.1150449687693,24416894.939455185,-260.3415374047545
82,2062.375386506174,24416829.771181155,-240.29523902460204
83,2062.615681745199,24416774.25243863,-221.79250561969383
84,2062.8374742508186,24416726.954411827,-204.71448268697858
85,2063.0421887335056,24416686.659851156,-188.9514675200713
86,2063.2311402010255,24416652.331746373,-174.4022045210426
87,2063.4055424055464,24416623.0866384,-160.97323477292375
88,2063.5665156403193,24416598.1718828,-148.57829569541644
89,2063.715093936015,24416576.946279984,-137.1377669268506
